STATE,BINARY,DECIMAL,
1,00000000000000000000000000000000000000000000000000000001,1,0
2,00000000000000000000000000000000000000000000000000000010,2,1
3,00000000000000000000000000000000000000000000000000000100,4,2
4,00000000000000000000000000000000000000000000000000001000,8,3
5,00000000000000000000000000000000000000000000000000010000,16,4
6,00000000000000000000000000000000000000000000000000100000,32,5
7,00000000000000000000000000000000000000000000000001000000,64,6
8,00000000000000000000000000000000000000000000000010000000,128,7
9,00000000000000000000000000000000000000000000000100000000,256,8
10,00000000000000000000000000000000000000000000001000000000,512,9
11,00000000000000000000000000000000000000000000010000000000,1024,10
12,00000000000000000000000000000000000000000000100000000000,2048,11
13,00000000000000000000000000000000000000000001000000000000,4096,12
14,00000000000000000000000000000000000000000010000000000000,8192,13
15,00000000000000000000000000000000000000000100000000000000,16384,14
16,00000000000000000000000000000000000000001000000000000000,32768,15
17,00000000000000000000000000000000000000010000000000000000,65536,16
18,00000000000000000000000000000000000000100000000000000000,131072,17
19,00000000000000000000000000000000000001000000000000000000,262144,18
20,00000000000000000000000000000000000010000000000000000000,524288,19
21,00000000000000000000000000000000000100000000000000000000,1048576,20
22,00000000000000000000000000000000001000000000000000000000,2097152,21
23,00000000000000000000000000000000010000000000000000000000,4194304,22
24,00000000000000000000000000000000100000000000000000000000,8388608,23
25,00000000000000000000000000000001000000000000000000000000,16777216,24
26,00000000000000000000000000000010000000000000000000000000,33554432,25
27,00000000000000000000000000000100000000000000000000000000,67108864,26
28,00000000000000000000000000001000000000000000000000000000,134217728,27
29,00000000000000000000000000010000000000000000000000000000,268435456,28
30,00000000000000000000000000100000000000000000000000000000,536870912,29
31,00000000000000000000000001000000000000000000000000000000,1073741824,30
32,00000000000000000000000010000000000000000000000000000000,2147483648,31
33,00000000000000000000000100000000000000000000000000000000,4294967296,32
34,00000000000000000000001000000000000000000000000000000000,8589934592,33
35,00000000000000000000010000000000000000000000000000000000,17179869184,34
36,00000000000000000000100000000000000000000000000000000000,34359738368,35
37,00000000000000000001000000000000000000000000000000000000,68719476736,36
38,00000000000000000010000000000000000000000000000000000000,1.37439E+11,37
39,00000000000000000100000000000000000000000000000000000000,2.74878E+11,38
40,00000000000000001000000000000000000000000000000000000000,5.49756E+11,39
41,00000000000000010000000000000000000000000000000000000000,1.09951E+12,40
42,00000000000000100000000000000000000000000000000000000000,2.19902E+12,41
43,00000000000001000000000000000000000000000000000000000000,4.39805E+12,42
44,00000000000010000000000000000000000000000000000000000000,8.79609E+12,43
45,00000000000100000000000000000000000000000000000000000000,1.75922E+13,44
46,00000000001000000000000000000000000000000000000000000000,3.51844E+13,45
47,00000000010000000000000000000000000000000000000000000000,7.03687E+13,46
48,00000000100000000000000000000000000000000000000000000000,1.40737E+14,47
49,00000001000000000000000000000000000000000000000000000000,2.81475E+14,48
50,00000010000000000000000000000000000000000000000000000000,5.6295E+14,49
51,00000100000000000000000000000000000000000000000000000000,1.1259E+15,50
52,00001000000000000000000000000000000000000000000000000000,2.2518E+15,51
53,00010000000000000000000000000000000000000000000000000000,4.5036E+15,52
54,00100000000000000000000000000000000000000000000000000000,9.0072E+15,53
55,01000000000000000000000000000000000000000000000000000000,1.80144E+16,54
56,10000000000000000000000000000000000000000000000000000000,3.60288E+16,55
